date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,Location,date,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Altitude (m),Proximity to Industry (km)
2024-01-01 12:00:00,1,220.3,0.0,0.06,25.03,0.01,0.5,0.56,0.08,Antananarivo,2024-01-01,1391433,3097,69,1000,10,1276,0.5
2024-01-02 12:00:00,1,273.7,0.0,0.03,16.81,0.01,0.5,0.56,0.08,Antananarivo,2024-01-02,1391433,3097,69,1000,10,1276,0.5
2024-01-03 12:00:00,1,270.37,0.0,0.03,12.7,0.01,0.5,0.57,0.1,Antananarivo,2024-01-03,1391433,3097,69,1000,10,1276,0.5
2024-01-04 12:00:00,1,260.35,0.01,0.03,21.46,0.01,0.5,0.61,0.13,Antananarivo,2024-01-04,1391433,3097,69,1000,10,1276,0.5
2024-01-05 12:00:00,1,253.68,0.01,0.05,10.64,0.02,0.5,0.91,0.18,Antananarivo,2024-01-05,1391433,3097,69,1000,10,1276,0.5
2024-01-06 12:00:00,1,243.66,0.01,0.07,11.27,0.02,0.5,0.71,0.2,Antananarivo,2024-01-06,1391433,3097,69,1000,10,1276,0.5
2024-01-07 12:00:00,1,233.65,0.0,0.11,15.38,0.04,0.5,1.24,0.23,Antananarivo,2024-01-07,1391433,3097,69,1000,10,1276,0.5
2024-01-08 12:00:00,1,236.99,0.01,0.04,11.44,0.03,0.5,0.69,0.2,Antananarivo,2024-01-08,1391433,3097,69,1000,10,1276,0.5
2024-01-10 12:00:00,1,253.68,0.02,0.13,21.28,0.22,1.09,2.44,0.83,Antananarivo,2024-01-10,1391433,3097,69,1000,10,1276,0.5
2024-01-11 12:00:00,1,280.38,0.01,0.32,35.05,0.38,1.18,2.58,1.44,Antananarivo,2024-01-11,1391433,3097,69,1000,10,1276,0.5
2024-01-12 12:00:00,2,250.34,0.02,0.14,75.1,0.35,1.99,3.62,1.12,Antananarivo,2024-01-12,1391433,3097,69,1000,10,1276,0.5
2024-01-13 12:00:00,1,220.3,0.01,0.07,42.2,0.05,0.55,1.05,0.32,Antananarivo,2024-01-13,1391433,3097,69,1000,10,1276,0.5
2024-01-14 12:00:00,1,230.31,0.01,0.04,13.05,0.02,0.5,0.63,0.21,Antananarivo,2024-01-14,1391433,3097,69,1000,10,1276,0.5
2024-01-15 12:00:00,1,208.62,0.0,0.03,10.55,0.01,0.5,0.59,0.11,Antananarivo,2024-01-15,1391433,3097,69,1000,10,1276,0.5
2024-01-16 12:00:00,1,247.0,0.0,0.04,22.89,0.02,0.5,0.62,0.13,Antananarivo,2024-01-16,1391433,3097,69,1000,10,1276,0.5
2024-01-17 12:00:00,1,287.06,0.01,0.06,22.71,0.02,0.5,0.75,0.1,Antananarivo,2024-01-17,1391433,3097,69,1000,10,1276,0.5
2024-01-18 12:00:00,1,220.3,0.02,0.15,12.34,0.05,0.79,1.19,0.24,Antananarivo,2024-01-18,1391433,3097,69,1000,10,1276,0.5
2024-01-19 12:00:00,1,257.02,0.01,0.06,26.46,0.07,1.22,2.2,0.45,Antananarivo,2024-01-19,1391433,3097,69,1000,10,1276,0.5
