date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,Location,date,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Altitude (m),Proximity to Industry (km)
2024-01-01 12:00:00,2,660.9,26.38,22.96,0.16,29.09,19.13,24.6,4.94,Lima,2024-01-01,9674755,3220,81,4500,15,1540,1.5
2024-01-02 12:00:00,2,667.57,24.14,24.68,0.23,27.66,20.75,30.84,5.64,Lima,2024-01-02,9674755,3220,81,4500,15,1540,1.5
2024-01-03 12:00:00,2,440.6,9.16,25.7,0.46,34.33,13.89,22.33,3.07,Lima,2024-01-03,9674755,3220,81,4500,15,1540,1.5
2024-01-04 12:00:00,2,587.46,16.54,29.13,0.25,28.13,17.29,27.6,4.88,Lima,2024-01-04,9674755,3220,81,4500,15,1540,1.5
2024-01-05 12:00:00,3,1094.82,54.54,29.47,0.08,39.1,34.73,45.9,12.67,Lima,2024-01-05,9674755,3220,81,4500,15,1540,1.5
2024-01-06 12:00:00,2,587.46,21.01,28.45,0.83,28.13,22.68,36.92,3.8,Lima,2024-01-06,9674755,3220,81,4500,15,1540,1.5
2024-01-07 12:00:00,2,377.18,3.63,26.73,4.74,23.37,12.99,22.06,2.15,Lima,2024-01-07,9674755,3220,81,4500,15,1540,1.5
2024-01-08 12:00:00,2,554.08,17.66,26.05,0.52,37.67,18.67,28.99,4.75,Lima,2024-01-08,9674755,3220,81,4500,15,1540,1.5
2024-01-10 12:00:00,2,473.98,10.84,27.08,1.29,37.67,15.6,23.91,3.55,Lima,2024-01-10,9674755,3220,81,4500,15,1540,1.5
2024-01-11 12:00:00,2,560.76,15.42,32.9,1.72,43.87,22.49,34.13,4.12,Lima,2024-01-11,9674755,3220,81,4500,15,1540,1.5
2024-01-12 12:00:00,2,587.46,18.78,29.13,0.66,35.29,22.54,37.28,4.5,Lima,2024-01-12,9674755,3220,81,4500,15,1540,1.5
2024-01-13 12:00:00,3,841.14,37.55,27.76,0.27,30.28,26.84,37.76,9.25,Lima,2024-01-13,9674755,3220,81,4500,15,1540,1.5
2024-01-14 12:00:00,2,494.0,9.83,28.79,0.69,23.37,16.47,26.65,3.89,Lima,2024-01-14,9674755,3220,81,4500,15,1540,1.5
2024-01-15 12:00:00,2,393.87,1.56,27.08,8.49,24.8,11.35,19.61,2.69,Lima,2024-01-15,9674755,3220,81,4500,15,1540,1.5
2024-01-16 12:00:00,3,594.14,17.88,34.27,0.43,43.87,25.39,41.61,4.62,Lima,2024-01-16,9674755,3220,81,4500,15,1540,1.5
2024-01-17 12:00:00,3,988.01,41.57,33.59,0.07,39.58,34.88,50.07,10.64,Lima,2024-01-17,9674755,3220,81,4500,15,1540,1.5
2024-01-18 12:00:00,3,580.79,17.66,35.99,0.39,49.59,29.36,47.85,3.74,Lima,2024-01-18,9674755,3220,81,4500,15,1540,1.5
2024-01-19 12:00:00,3,947.95,51.86,30.85,0.23,59.13,41.55,58.59,8.11,Lima,2024-01-19,9674755,3220,81,4500,15,1540,1.5
2024-01-20 12:00:00,3,707.63,30.4,28.79,0.95,29.56,27.4,41.59,5.19,Lima,2024-01-20,9674755,3220,81,4500,15,1540,1.5
2024-01-21 12:00:00,2,514.03,15.2,27.42,0.51,31.47,18.58,27.68,3.67,Lima,2024-01-21,9674755,3220,81,4500,15,1540,1.5
2024-01-22 12:00:00,3,680.92,29.5,29.82,0.12,44.35,27.4,39.35,5.32,Lima,2024-01-22,9674755,3220,81,4500,15,1540,1.5
2024-01-23 12:00:00,3,1054.76,50.51,32.9,0.11,32.42,34.73,48.68,9.25,Lima,2024-01-23,9674755,3220,81,4500,15,1540,1.5
