date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,Location,date,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Altitude (m),Proximity to Industry (km)
2024-01-01 12:00:00,2,587.46,30.85,41.13,0.0,4.47,20.46,30.45,2.56,Los Angeles,2024-01-01,10039107,3276,89,60000,32,89,5.0
2024-01-02 12:00:00,3,634.19,33.97,43.87,0.0,4.23,28.23,48.85,2.63,Los Angeles,2024-01-02,10039107,3276,89,60000,32,89,5.0
2024-01-03 12:00:00,5,1869.2,141.26,122.01,0.0,9.42,159.87,174.3,1.38,Los Angeles,2024-01-03,10039107,3276,89,60000,32,89,5.0
2024-01-04 12:00:00,2,403.88,1.19,41.47,11.44,3.04,7.46,12.87,1.87,Los Angeles,2024-01-04,10039107,3276,89,60000,32,89,5.0
2024-01-05 12:00:00,3,647.54,36.66,47.3,0.0,4.35,27.76,40.36,3.29,Los Angeles,2024-01-05,10039107,3276,89,60000,32,89,5.0
2024-01-06 12:00:00,2,460.62,9.95,40.44,0.61,2.18,14.01,28.74,1.61,Los Angeles,2024-01-06,10039107,3276,89,60000,32,89,5.0
2024-01-07 12:00:00,1,290.39,0.0,16.79,56.51,3.31,3.61,5.45,0.78,Los Angeles,2024-01-07,10039107,3276,89,60000,32,89,5.0
2024-01-08 12:00:00,2,494.0,16.09,36.67,0.17,3.73,13.01,20.82,2.85,Los Angeles,2024-01-08,10039107,3276,89,60000,32,89,5.0
2024-01-10 12:00:00,4,867.84,44.26,77.46,0.0,5.25,59.63,76.09,2.12,Los Angeles,2024-01-10,10039107,3276,89,60000,32,89,5.0
2024-01-11 12:00:00,1,380.52,0.49,38.73,25.75,3.34,6.91,10.11,0.75,Los Angeles,2024-01-11,10039107,3276,89,60000,32,89,5.0
2024-01-12 12:00:00,3,787.73,43.36,71.97,0.0,7.45,37.09,47.35,3.86,Los Angeles,2024-01-12,10039107,3276,89,60000,32,89,5.0
2024-01-13 12:00:00,5,1201.63,59.01,130.24,0.0,7.99,108.16,127.41,3.1,Los Angeles,2024-01-13,10039107,3276,89,60000,32,89,5.0
2024-01-14 12:00:00,5,1054.76,19.67,101.45,0.02,5.96,152.67,166.83,0.32,Los Angeles,2024-01-14,10039107,3276,89,60000,32,89,5.0
2024-01-15 12:00:00,3,727.65,41.57,56.89,0.0,5.25,47.7,63.11,2.91,Los Angeles,2024-01-15,10039107,3276,89,60000,32,89,5.0
2024-01-16 12:00:00,5,1281.74,69.74,113.79,0.0,15.26,113.37,139.69,7.28,Los Angeles,2024-01-16,10039107,3276,89,60000,32,89,5.0
2024-01-17 12:00:00,5,2002.72,92.09,139.83,0.0,10.61,277.97,304.61,1.98,Los Angeles,2024-01-17,10039107,3276,89,60000,32,89,5.0
2024-01-18 12:00:00,5,814.44,27.05,101.45,0.0,16.45,76.09,88.96,0.13,Los Angeles,2024-01-18,10039107,3276,89,60000,32,89,5.0
2024-01-19 12:00:00,5,1895.9,171.66,161.77,0.0,24.8,123.48,163.87,23.05,Los Angeles,2024-01-19,10039107,3276,89,60000,32,89,5.0
2024-01-20 12:00:00,3,1028.06,76.0,75.4,0.0,7.15,32.47,40.68,1.08,Los Angeles,2024-01-20,10039107,3276,89,60000,32,89,5.0
2024-01-21 12:00:00,2,514.03,19.67,37.01,0.0,3.81,11.57,13.92,0.84,Los Angeles,2024-01-21,10039107,3276,89,60000,32,89,5.0
2024-01-22 12:00:00,1,390.53,0.18,36.67,18.24,5.54,6.72,8.42,0.61,Los Angeles,2024-01-22,10039107,3276,89,60000,32,89,5.0
2024-01-23 12:00:00,3,1081.47,116.23,50.72,0.0,6.32,44.69,58.86,4.94,Los Angeles,2024-01-23,10039107,3276,89,60000,32,89,5.0
2024-01-24 12:00:00,4,834.47,36.21,59.63,0.0,5.72,52.98,62.71,0.74,Los Angeles,2024-01-24,10039107,3276,89,60000,32,89,5.0
2024-01-25 12:00:00,4,1281.74,103.71,67.86,0.0,7.63,59.53,73.66,1.66,Los Angeles,2024-01-25,10039107,3276,89,60000,32,89,5.0
2024-01-26 12:00:00,3,634.19,33.97,43.87,0.0,4.29,32.98,45.03,2.09,Los Angeles,2024-01-26,10039107,3276,89,60000,32,89,5.0
2024-01-27 12:00:00,1,393.87,3.69,35.64,3.58,2.53,9.48,18.17,2.15,Los Angeles,2024-01-27,10039107,3276,89,60000,32,89,5.0
2024-01-28 12:00:00,1,383.85,6.71,32.56,1.26,2.41,8.45,16.79,2.15,Los Angeles,2024-01-28,10039107,3276,89,60000,32,89,5.0
2024-01-29 12:00:00,2,473.98,24.36,35.64,0.01,6.26,14.3,29.92,4.62,Los Angeles,2024-01-29,10039107,3276,89,60000,32,89,5.0
2024-01-30 12:00:00,3,827.79,51.86,65.12,0.0,7.99,41.73,62.28,4.43,Los Angeles,2024-01-30,10039107,3276,89,60000,32,89,5.0
2024-01-31 12:00:00,5,1682.28,43.81,145.32,0.0,14.54,271.26,302.21,2.56,Los Angeles,2024-01-31,10039107,3276,89,60000,32,89,5.0
2024-02-01 12:00:00,3,397.21,0.0,23.99,74.39,4.77,30.43,33.64,0.49,Los Angeles,2024-02-01,10039107,3276,89,60000,32,89,5.0
2024-02-02 12:00:00,4,1455.31,141.26,94.59,0.0,18.6,53.71,62.24,6.78,Los Angeles,2024-02-02,10039107,3276,89,60000,32,89,5.0
2024-02-03 12:00:00,3,1054.76,68.84,90.48,0.0,7.63,42.27,56.52,5.13,Los Angeles,2024-02-03,10039107,3276,89,60000,32,89,5.0
2024-02-04 12:00:00,1,340.46,0.01,31.87,42.56,5.07,5.38,7.38,0.73,Los Angeles,2024-02-04,10039107,3276,89,60000,32,89,5.0
2024-02-05 12:00:00,2,263.69,0.0,17.31,60.8,4.71,2.43,3.4,0.49,Los Angeles,2024-02-05,10039107,3276,89,60000,32,89,5.0
2024-02-06 12:00:00,2,627.52,29.95,52.78,0.0,6.5,15.75,18.64,0.99,Los Angeles,2024-02-06,10039107,3276,89,60000,32,89,5.0
2024-02-07 12:00:00,3,734.33,29.5,78.14,0.0,5.66,23.28,27.62,1.39,Los Angeles,2024-02-07,10039107,3276,89,60000,32,89,5.0
2024-02-08 12:00:00,2,390.53,0.04,41.13,41.84,3.93,6.61,10.19,1.25,Los Angeles,2024-02-08,10039107,3276,89,60000,32,89,5.0
2024-02-09 12:00:00,3,660.9,27.72,74.03,0.0,8.94,26.6,31.93,0.75,Los Angeles,2024-02-09,10039107,3276,89,60000,32,89,5.0
2024-02-10 12:00:00,2,580.79,10.51,58.95,0.61,2.44,22.41,29.44,1.14,Los Angeles,2024-02-10,10039107,3276,89,60000,32,89,5.0
2024-02-11 12:00:00,2,467.3,11.51,39.76,0.44,2.98,11.73,21.63,2.09,Los Angeles,2024-02-11,10039107,3276,89,60000,32,89,5.0
2024-02-12 12:00:00,3,640.87,27.94,51.41,0.01,6.14,31.96,44.8,3.64,Los Angeles,2024-02-12,10039107,3276,89,60000,32,89,5.0
2024-02-13 12:00:00,4,988.01,53.2,87.74,0.0,9.66,74.61,95.4,2.53,Los Angeles,2024-02-13,10039107,3276,89,60000,32,89,5.0
2024-02-14 12:00:00,5,934.6,39.34,71.97,0.0,5.84,76.63,85.89,0.74,Los Angeles,2024-02-14,10039107,3276,89,60000,32,89,5.0
2024-02-15 12:00:00,5,1642.23,173.45,100.08,0.0,12.64,112.12,136.17,6.14,Los Angeles,2024-02-15,10039107,3276,89,60000,32,89,5.0
2024-02-16 12:00:00,3,761.03,37.55,81.57,0.0,16.45,35.65,44.86,1.06,Los Angeles,2024-02-16,10039107,3276,89,60000,32,89,5.0
2024-02-17 12:00:00,5,1895.9,178.81,122.01,0.0,10.85,150.04,166.74,5.13,Los Angeles,2024-02-17,10039107,3276,89,60000,32,89,5.0
2024-02-18 12:00:00,4,1495.36,146.63,75.4,0.0,6.2,67.17,78.19,2.5,Los Angeles,2024-02-18,10039107,3276,89,60000,32,89,5.0
2024-02-19 12:00:00,3,974.66,60.8,87.05,0.0,8.82,32.82,39.85,1.09,Los Angeles,2024-02-19,10039107,3276,89,60000,32,89,5.0
2024-02-20 12:00:00,2,397.21,0.41,43.53,13.41,6.02,5.75,7.57,0.78,Los Angeles,2024-02-20,10039107,3276,89,60000,32,89,5.0
2024-02-21 12:00:00,3,854.49,48.73,72.66,0.0,12.87,19.29,23.7,1.55,Los Angeles,2024-02-21,10039107,3276,89,60000,32,89,5.0
2024-02-22 12:00:00,3,834.47,65.27,55.52,0.0,5.07,34.52,44.61,1.42,Los Angeles,2024-02-22,10039107,3276,89,60000,32,89,5.0
2024-02-23 12:00:00,2,460.62,16.32,40.78,0.16,3.28,16.31,30.41,2.34,Los Angeles,2024-02-23,10039107,3276,89,60000,32,89,5.0
2024-02-24 12:00:00,3,787.73,41.13,62.38,0.0,5.48,26.63,44.91,3.74,Los Angeles,2024-02-24,10039107,3276,89,60000,32,89,5.0
2024-02-25 12:00:00,5,1575.47,68.84,167.25,0.0,24.8,166.16,191.12,8.23,Los Angeles,2024-02-25,10039107,3276,89,60000,32,89,5.0
2024-02-26 12:00:00,5,1535.42,134.11,102.82,0.0,16.93,95.05,115.47,9.12,Los Angeles,2024-02-26,10039107,3276,89,60000,32,89,5.0
2024-02-27 12:00:00,5,1895.9,216.36,85.0,0.0,10.13,82.27,90.17,5.07,Los Angeles,2024-02-27,10039107,3276,89,60000,32,89,5.0
2024-02-28 12:00:00,3,881.2,70.63,61.69,0.0,9.78,41.62,61.22,6.52,Los Angeles,2024-02-28,10039107,3276,89,60000,32,89,5.0
2024-02-29 12:00:00,4,1014.71,40.68,81.57,0.0,9.66,67.89,78.43,0.73,Los Angeles,2024-02-29,10039107,3276,89,60000,32,89,5.0
2024-03-01 12:00:00,3,907.9,61.69,76.77,0.0,11.8,27.99,41.49,2.31,Los Angeles,2024-03-01,10039107,3276,89,60000,32,89,5.0
2024-03-02 12:00:00,2,243.66,0.0,5.23,90.84,2.24,1.07,1.96,0.22,Los Angeles,2024-03-02,10039107,3276,89,60000,32,89,5.0
2024-03-03 12:00:00,2,407.22,0.04,47.98,31.47,5.84,7.97,12.29,1.22,Los Angeles,2024-03-03,10039107,3276,89,60000,32,89,5.0
2024-03-04 12:00:00,3,1068.12,64.37,102.82,0.0,12.87,44.84,59.05,8.04,Los Angeles,2024-03-04,10039107,3276,89,60000,32,89,5.0
2024-03-05 12:00:00,4,1001.36,56.77,65.8,0.0,4.65,59.95,73.66,1.3,Los Angeles,2024-03-05,10039107,3276,89,60000,32,89,5.0
2024-03-06 12:00:00,4,1188.28,86.72,74.71,0.0,5.19,56.55,61.78,1.12,Los Angeles,2024-03-06,10039107,3276,89,60000,32,89,5.0
2024-03-07 12:00:00,3,867.84,75.1,60.32,0.0,12.76,30.23,44.37,8.11,Los Angeles,2024-03-07,10039107,3276,89,60000,32,89,5.0
2024-03-08 12:00:00,2,587.46,28.39,41.47,0.0,4.41,21.27,30.54,2.01,Los Angeles,2024-03-08,10039107,3276,89,60000,32,89,5.0
2024-03-09 12:00:00,3,540.73,4.41,57.58,2.08,5.3,31.36,41.92,1.5,Los Angeles,2024-03-09,10039107,3276,89,60000,32,89,5.0
2024-03-10 12:00:00,5,921.25,12.41,78.14,0.2,8.46,127.26,142.97,1.25,Los Angeles,2024-03-10,10039107,3276,89,60000,32,89,5.0
2024-03-11 12:00:00,4,1001.36,58.11,63.06,0.0,4.95,50.97,60.71,1.71,Los Angeles,2024-03-11,10039107,3276,89,60000,32,89,5.0
2024-03-12 12:00:00,4,1415.25,137.69,73.34,0.0,8.11,56.9,80.15,4.43,Los Angeles,2024-03-12,10039107,3276,89,60000,32,89,5.0
2024-03-13 12:00:00,3,627.52,18.33,61.69,0.05,4.35,27.63,36.24,1.41,Los Angeles,2024-03-13,10039107,3276,89,60000,32,89,5.0
2024-03-14 12:00:00,2,560.76,21.68,50.72,0.05,7.51,18.59,28.99,4.56,Los Angeles,2024-03-14,10039107,3276,89,60000,32,89,5.0
2024-03-15 12:00:00,2,527.38,4.14,67.17,2.95,4.83,14.09,23.71,3.93,Los Angeles,2024-03-15,10039107,3276,89,60000,32,89,5.0
2024-03-16 12:00:00,2,580.79,17.21,54.84,0.04,3.7,18.8,27.68,1.09,Los Angeles,2024-03-16,10039107,3276,89,60000,32,89,5.0
2024-03-17 12:00:00,3,767.71,34.42,55.52,0.0,3.1,40.59,50.69,1.11,Los Angeles,2024-03-17,10039107,3276,89,60000,32,89,5.0
2024-03-18 12:00:00,3,574.11,20.34,47.3,0.04,5.07,32.97,44.99,2.6,Los Angeles,2024-03-18,10039107,3276,89,60000,32,89,5.0
2024-03-19 12:00:00,2,514.03,25.26,39.41,0.01,3.93,15.02,27.62,2.22,Los Angeles,2024-03-19,10039107,3276,89,60000,32,89,5.0
2024-03-20 12:00:00,5,961.3,19.67,86.37,0.03,11.56,146.55,168.54,1.38,Los Angeles,2024-03-20,10039107,3276,89,60000,32,89,5.0
2024-03-21 12:00:00,5,1708.98,46.49,130.24,0.0,7.87,283.0,296.44,0.42,Los Angeles,2024-03-21,10039107,3276,89,60000,32,89,5.0
2024-03-22 12:00:00,5,1415.25,104.61,102.82,0.0,9.66,93.63,108.83,4.18,Los Angeles,2024-03-22,10039107,3276,89,60000,32,89,5.0
2024-03-23 12:00:00,2,801.09,49.17,63.75,0.0,7.33,24.78,33.21,3.55,Los Angeles,2024-03-23,10039107,3276,89,60000,32,89,5.0
2024-03-24 12:00:00,1,353.81,0.02,37.7,36.84,3.52,5.31,8.76,0.83,Los Angeles,2024-03-24,10039107,3276,89,60000,32,89,5.0
2024-03-25 12:00:00,2,453.95,8.05,42.5,0.87,2.83,9.68,16.17,1.28,Los Angeles,2024-03-25,10039107,3276,89,60000,32,89,5.0
2024-03-26 12:00:00,2,433.92,0.03,45.24,31.11,6.14,14.89,20.85,1.08,Los Angeles,2024-03-26,10039107,3276,89,60000,32,89,5.0
2024-03-27 12:00:00,4,881.2,31.29,81.57,0.0,4.59,60.15,73.46,1.09,Los Angeles,2024-03-27,10039107,3276,89,60000,32,89,5.0
2024-03-28 12:00:00,5,1495.36,92.98,139.83,0.0,14.54,114.04,135.53,6.9,Los Angeles,2024-03-28,10039107,3276,89,60000,32,89,5.0
2024-03-29 12:00:00,3,580.79,15.42,71.29,0.19,5.01,14.09,22.56,1.49,Los Angeles,2024-03-29,10039107,3276,89,60000,32,89,5.0
2024-03-30 12:00:00,2,226.97,0.0,5.36,91.55,2.18,1.02,1.45,0.15,Los Angeles,2024-03-30,10039107,3276,89,60000,32,89,5.0
2024-03-31 12:00:00,2,297.07,0.0,17.99,61.51,3.87,2.0,3.12,0.51,Los Angeles,2024-03-31,10039107,3276,89,60000,32,89,5.0
2024-04-01 12:00:00,2,560.76,31.29,45.24,0.0,4.95,17.43,25.02,1.66,Los Angeles,2024-04-01,10039107,3276,89,60000,32,89,5.0
2024-04-02 12:00:00,3,567.44,13.86,50.04,0.07,4.05,25.08,33.19,1.08,Los Angeles,2024-04-02,10039107,3276,89,60000,32,89,5.0
2024-04-03 12:00:00,4,734.33,9.16,64.43,0.57,5.3,72.43,84.77,1.49,Los Angeles,2024-04-03,10039107,3276,89,60000,32,89,5.0
2024-04-04 12:00:00,3,881.2,51.41,78.14,0.0,9.18,39.3,49.9,2.44,Los Angeles,2024-04-04,10039107,3276,89,60000,32,89,5.0
2024-04-05 12:00:00,2,540.73,9.72,69.23,0.63,5.19,13.34,19.89,1.63,Los Angeles,2024-04-05,10039107,3276,89,60000,32,89,5.0
2024-04-06 12:00:00,2,447.27,8.38,45.24,0.75,2.35,10.06,15.39,0.74,Los Angeles,2024-04-06,10039107,3276,89,60000,32,89,5.0
2024-04-07 12:00:00,4,707.63,12.85,70.6,0.14,3.87,63.34,71.25,0.86,Los Angeles,2024-04-07,10039107,3276,89,60000,32,89,5.0
2024-04-08 12:00:00,3,634.19,10.95,63.75,0.25,4.65,46.91,55.69,0.71,Los Angeles,2024-04-08,10039107,3276,89,60000,32,89,5.0
2024-04-09 12:00:00,2,397.21,3.24,36.67,4.11,3.1,12.37,22.35,2.03,Los Angeles,2024-04-09,10039107,3276,89,60000,32,89,5.0
2024-04-10 12:00:00,2,487.33,4.58,53.47,2.19,4.89,18.16,28.06,2.85,Los Angeles,2024-04-10,10039107,3276,89,60000,32,89,5.0
2024-04-11 12:00:00,5,1214.98,28.61,109.67,0.0,7.75,121.09,140.31,2.6,Los Angeles,2024-04-11,10039107,3276,89,60000,32,89,5.0
2024-04-12 12:00:00,3,827.79,46.49,78.14,0.0,11.8,36.78,53.68,4.43,Los Angeles,2024-04-12,10039107,3276,89,60000,32,89,5.0
2024-04-13 12:00:00,3,233.65,0.0,7.2,104.43,2.8,3.73,8.65,0.33,Los Angeles,2024-04-13,10039107,3276,89,60000,32,89,5.0
2024-04-14 12:00:00,2,554.08,8.72,69.23,0.4,4.53,14.93,21.17,1.42,Los Angeles,2024-04-14,10039107,3276,89,60000,32,89,5.0
2024-04-15 12:00:00,3,727.65,37.1,65.12,0.0,3.73,25.87,29.96,1.2,Los Angeles,2024-04-15,10039107,3276,89,60000,32,89,5.0
2024-04-16 12:00:00,4,747.68,23.69,66.49,0.01,5.84,56.44,68.48,2.22,Los Angeles,2024-04-16,10039107,3276,89,60000,32,89,5.0
2024-04-17 12:00:00,5,1281.74,16.76,104.19,0.03,5.54,191.72,206.24,1.49,Los Angeles,2024-04-17,10039107,3276,89,60000,32,89,5.0
2024-04-18 12:00:00,3,1321.79,102.82,117.9,0.0,16.45,49.2,66.91,7.98,Los Angeles,2024-04-18,10039107,3276,89,60000,32,89,5.0
2024-04-19 12:00:00,3,827.79,51.41,76.09,0.0,8.46,38.36,53.35,2.66,Los Angeles,2024-04-19,10039107,3276,89,60000,32,89,5.0
2024-04-20 12:00:00,4,907.9,45.6,102.82,0.0,9.3,50.26,60.92,2.18,Los Angeles,2024-04-20,10039107,3276,89,60000,32,89,5.0
2024-04-21 12:00:00,3,781.06,32.19,85.0,0.0,8.46,48.68,62.65,2.09,Los Angeles,2024-04-21,10039107,3276,89,60000,32,89,5.0
2024-04-22 12:00:00,3,974.66,59.9,108.3,0.0,18.36,49.06,67.2,7.92,Los Angeles,2024-04-22,10039107,3276,89,60000,32,89,5.0
