date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,Location,date,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Altitude (m),Proximity to Industry (km)
2024-01-01 12:00:00,1,397.21,0.15,0.89,49.35,0.97,3.88,11.6,4.24,Nairobi,2024-01-01,4397073,6000,61,1500,12,1795,1.0
2024-01-02 12:00:00,2,534.06,0.14,2.03,54.36,2.8,9.05,22.49,8.04,Nairobi,2024-01-02,4397073,6000,61,1500,12,1795,1.0
2024-01-03 12:00:00,2,514.03,0.17,2.03,57.94,3.22,12.71,26.34,7.66,Nairobi,2024-01-03,4397073,6000,61,1500,12,1795,1.0
2024-01-04 12:00:00,2,674.25,0.16,2.66,78.68,4.83,13.88,32.66,10.77,Nairobi,2024-01-04,4397073,6000,61,1500,12,1795,1.0
2024-01-05 12:00:00,2,694.27,0.16,1.86,80.11,2.62,14.98,42.07,9.5,Nairobi,2024-01-05,4397073,6000,61,1500,12,1795,1.0
2024-01-06 12:00:00,1,520.71,0.12,1.52,54.36,1.91,7.89,19.71,6.84,Nairobi,2024-01-06,4397073,6000,61,1500,12,1795,1.0
2024-01-07 12:00:00,1,350.48,0.14,0.94,45.06,0.97,5.47,13.38,3.74,Nairobi,2024-01-07,4397073,6000,61,1500,12,1795,1.0
2024-01-08 12:00:00,2,370.5,0.17,1.02,50.78,1.24,12.0,26.96,4.43,Nairobi,2024-01-08,4397073,6000,61,1500,12,1795,1.0
2024-01-10 12:00:00,1,423.91,0.03,3.17,36.48,1.59,4.98,15.58,5.26,Nairobi,2024-01-10,4397073,6000,61,1500,12,1795,1.0
2024-01-11 12:00:00,2,687.6,0.0,5.1,39.7,3.28,17.32,44.23,7.6,Nairobi,2024-01-11,4397073,6000,61,1500,12,1795,1.0
2024-01-12 12:00:00,3,1028.06,0.03,11.82,42.56,8.11,31.82,88.17,19.51,Nairobi,2024-01-12,4397073,6000,61,1500,12,1795,1.0
2024-01-13 12:00:00,2,674.25,0.01,9.08,30.04,3.16,12.87,27.66,7.85,Nairobi,2024-01-13,4397073,6000,61,1500,12,1795,1.0
2024-01-14 12:00:00,2,714.3,0.09,4.07,61.51,5.66,9.14,22.96,9.5,Nairobi,2024-01-14,4397073,6000,61,1500,12,1795,1.0
2024-01-15 12:00:00,1,427.25,0.17,1.86,39.7,1.45,4.66,13.48,5.07,Nairobi,2024-01-15,4397073,6000,61,1500,12,1795,1.0
2024-01-16 12:00:00,1,453.95,0.18,1.27,55.79,1.82,5.25,15.07,5.95,Nairobi,2024-01-16,4397073,6000,61,1500,12,1795,1.0
2024-01-17 12:00:00,1,440.6,0.22,1.63,55.79,2.06,4.68,14.18,6.27,Nairobi,2024-01-17,4397073,6000,61,1500,12,1795,1.0
2024-01-18 12:00:00,1,367.16,0.04,1.04,28.61,0.18,1.85,10.02,2.41,Nairobi,2024-01-18,4397073,6000,61,1500,12,1795,1.0
2024-01-19 12:00:00,2,741.0,0.11,1.18,94.41,4.11,15.74,39.53,9.75,Nairobi,2024-01-19,4397073,6000,61,1500,12,1795,1.0
2024-01-20 12:00:00,1,554.08,0.13,2.91,46.49,3.87,7.1,15.77,6.08,Nairobi,2024-01-20,4397073,6000,61,1500,12,1795,1.0
2024-01-21 12:00:00,2,473.98,0.15,3.38,36.84,1.7,9.79,24.97,6.33,Nairobi,2024-01-21,4397073,6000,61,1500,12,1795,1.0
2024-01-22 12:00:00,3,393.87,0.19,1.18,59.37,1.58,20.62,62.84,5.26,Nairobi,2024-01-22,4397073,6000,61,1500,12,1795,1.0
2024-01-23 12:00:00,3,453.95,0.17,2.72,55.79,2.95,19.07,57.06,7.41,Nairobi,2024-01-23,4397073,6000,61,1500,12,1795,1.0
2024-01-24 12:00:00,2,407.22,0.2,1.18,75.82,1.94,12.92,30.78,5.89,Nairobi,2024-01-24,4397073,6000,61,1500,12,1795,1.0
2024-01-25 12:00:00,2,574.11,0.17,1.71,88.69,4.11,20.42,46.63,9.63,Nairobi,2024-01-25,4397073,6000,61,1500,12,1795,1.0
2024-01-26 12:00:00,1,397.21,0.2,1.21,59.37,1.71,7.38,17.94,5.19,Nairobi,2024-01-26,4397073,6000,61,1500,12,1795,1.0
2024-01-27 12:00:00,1,307.08,0.13,0.86,40.41,0.69,1.85,6.05,2.63,Nairobi,2024-01-27,4397073,6000,61,1500,12,1795,1.0
2024-01-28 12:00:00,1,303.75,0.14,1.07,36.84,0.71,2.1,6.35,2.63,Nairobi,2024-01-28,4397073,6000,61,1500,12,1795,1.0
2024-01-29 12:00:00,1,373.84,0.19,1.19,56.51,1.45,3.48,11.47,5.0,Nairobi,2024-01-29,4397073,6000,61,1500,12,1795,1.0
2024-01-30 12:00:00,1,370.5,0.06,2.53,36.84,1.19,1.91,7.69,4.75,Nairobi,2024-01-30,4397073,6000,61,1500,12,1795,1.0
2024-01-31 12:00:00,1,360.49,0.1,1.99,45.06,1.15,2.61,9.62,4.37,Nairobi,2024-01-31,4397073,6000,61,1500,12,1795,1.0
2024-02-01 12:00:00,1,333.79,0.09,1.91,50.07,1.01,2.4,9.45,4.12,Nairobi,2024-02-01,4397073,6000,61,1500,12,1795,1.0
2024-02-02 12:00:00,1,387.19,0.1,2.16,56.51,1.43,4.44,16.05,5.57,Nairobi,2024-02-02,4397073,6000,61,1500,12,1795,1.0
2024-02-03 12:00:00,1,290.39,0.12,0.81,45.78,0.57,1.91,7.12,2.79,Nairobi,2024-02-03,4397073,6000,61,1500,12,1795,1.0
2024-02-04 12:00:00,1,273.7,0.1,0.94,27.54,0.42,1.22,4.57,2.09,Nairobi,2024-02-04,4397073,6000,61,1500,12,1795,1.0
2024-02-05 12:00:00,1,320.43,0.13,1.41,34.69,0.78,2.93,9.87,3.32,Nairobi,2024-02-05,4397073,6000,61,1500,12,1795,1.0
2024-02-06 12:00:00,2,373.84,0.17,1.15,62.23,1.27,3.73,11.63,4.37,Nairobi,2024-02-06,4397073,6000,61,1500,12,1795,1.0
2024-02-07 12:00:00,1,323.77,0.16,0.84,50.07,0.66,2.95,9.63,3.13,Nairobi,2024-02-07,4397073,6000,61,1500,12,1795,1.0
2024-02-08 12:00:00,1,310.42,0.16,0.71,44.7,0.47,2.57,9.46,3.04,Nairobi,2024-02-08,4397073,6000,61,1500,12,1795,1.0
2024-02-09 12:00:00,1,343.8,0.19,0.95,42.92,0.9,3.04,10.15,3.93,Nairobi,2024-02-09,4397073,6000,61,1500,12,1795,1.0
2024-02-10 12:00:00,1,300.41,0.14,0.7,35.76,0.6,2.88,8.5,2.5,Nairobi,2024-02-10,4397073,6000,61,1500,12,1795,1.0
2024-02-11 12:00:00,1,330.45,0.13,0.64,43.99,0.68,3.87,11.78,2.94,Nairobi,2024-02-11,4397073,6000,61,1500,12,1795,1.0
2024-02-12 12:00:00,1,357.15,0.17,0.88,57.22,1.01,4.76,15.49,4.02,Nairobi,2024-02-12,4397073,6000,61,1500,12,1795,1.0
2024-02-13 12:00:00,1,397.21,0.16,1.59,57.22,1.59,5.3,15.61,5.13,Nairobi,2024-02-13,4397073,6000,61,1500,12,1795,1.0
2024-02-14 12:00:00,1,350.48,0.14,1.08,58.65,0.86,5.59,13.33,3.58,Nairobi,2024-02-14,4397073,6000,61,1500,12,1795,1.0
2024-02-15 12:00:00,2,373.84,0.17,0.96,72.24,1.24,5.71,14.36,4.24,Nairobi,2024-02-15,4397073,6000,61,1500,12,1795,1.0
2024-02-16 12:00:00,1,370.5,0.16,1.26,50.78,0.92,3.3,9.77,3.96,Nairobi,2024-02-16,4397073,6000,61,1500,12,1795,1.0
2024-02-17 12:00:00,1,327.11,0.12,0.81,47.21,0.59,3.17,8.78,2.85,Nairobi,2024-02-17,4397073,6000,61,1500,12,1795,1.0
2024-02-18 12:00:00,1,333.79,0.12,1.29,57.22,1.07,4.59,12.1,3.64,Nairobi,2024-02-18,4397073,6000,61,1500,12,1795,1.0
2024-02-19 12:00:00,1,380.52,0.08,2.42,40.77,1.64,6.32,18.21,5.38,Nairobi,2024-02-19,4397073,6000,61,1500,12,1795,1.0
2024-02-20 12:00:00,1,330.45,0.16,0.86,49.35,0.73,5.46,13.85,3.36,Nairobi,2024-02-20,4397073,6000,61,1500,12,1795,1.0
2024-02-21 12:00:00,1,323.77,0.11,1.36,41.13,0.8,4.24,11.24,3.36,Nairobi,2024-02-21,4397073,6000,61,1500,12,1795,1.0
2024-02-22 12:00:00,1,313.76,0.1,1.52,44.7,0.92,3.34,10.87,3.58,Nairobi,2024-02-22,4397073,6000,61,1500,12,1795,1.0
2024-02-23 12:00:00,1,303.75,0.1,1.33,43.63,0.53,1.69,6.58,2.79,Nairobi,2024-02-23,4397073,6000,61,1500,12,1795,1.0
2024-02-24 12:00:00,1,327.11,0.08,1.35,27.89,0.55,1.33,5.53,2.63,Nairobi,2024-02-24,4397073,6000,61,1500,12,1795,1.0
2024-02-25 12:00:00,1,330.45,0.13,0.82,47.21,0.83,3.36,11.91,3.58,Nairobi,2024-02-25,4397073,6000,61,1500,12,1795,1.0
2024-02-26 12:00:00,2,594.14,0.11,4.88,47.21,4.77,9.79,29.68,10.64,Nairobi,2024-02-26,4397073,6000,61,1500,12,1795,1.0
2024-02-27 12:00:00,2,660.9,0.08,3.6,50.07,2.53,8.76,29.84,11.53,Nairobi,2024-02-27,4397073,6000,61,1500,12,1795,1.0
2024-02-28 12:00:00,1,554.08,0.11,1.5,58.65,1.3,6.87,19.35,5.64,Nairobi,2024-02-28,4397073,6000,61,1500,12,1795,1.0
2024-02-29 12:00:00,1,360.49,0.14,1.04,44.35,1.0,4.32,13.97,4.24,Nairobi,2024-02-29,4397073,6000,61,1500,12,1795,1.0
2024-03-01 12:00:00,1,330.45,0.14,1.08,47.92,0.74,5.63,15.25,3.55,Nairobi,2024-03-01,4397073,6000,61,1500,12,1795,1.0
2024-03-02 12:00:00,1,287.06,0.07,0.94,57.22,0.62,3.97,9.85,2.53,Nairobi,2024-03-02,4397073,6000,61,1500,12,1795,1.0
2024-03-03 12:00:00,1,360.49,0.16,1.36,54.36,1.76,4.84,13.9,4.88,Nairobi,2024-03-03,4397073,6000,61,1500,12,1795,1.0
2024-03-04 12:00:00,1,347.14,0.1,1.02,49.35,1.01,4.44,14.42,4.24,Nairobi,2024-03-04,4397073,6000,61,1500,12,1795,1.0
2024-03-05 12:00:00,1,310.42,0.09,1.05,36.12,0.55,2.65,7.94,2.72,Nairobi,2024-03-05,4397073,6000,61,1500,12,1795,1.0
2024-03-06 12:00:00,1,293.73,0.13,0.62,41.84,0.34,2.02,7.19,2.34,Nairobi,2024-03-06,4397073,6000,61,1500,12,1795,1.0
2024-03-07 12:00:00,1,267.03,0.11,0.75,37.55,0.16,2.03,8.53,1.85,Nairobi,2024-03-07,4397073,6000,61,1500,12,1795,1.0
2024-03-08 12:00:00,1,310.42,0.1,0.99,43.63,0.34,3.15,10.32,2.85,Nairobi,2024-03-08,4397073,6000,61,1500,12,1795,1.0
2024-03-09 12:00:00,1,293.73,0.13,0.59,28.25,0.41,1.54,6.16,2.22,Nairobi,2024-03-09,4397073,6000,61,1500,12,1795,1.0
2024-03-10 12:00:00,1,293.73,0.14,0.68,34.69,0.54,1.84,6.3,2.31,Nairobi,2024-03-10,4397073,6000,61,1500,12,1795,1.0
2024-03-11 12:00:00,1,300.41,0.14,0.93,44.35,0.64,3.27,9.25,2.82,Nairobi,2024-03-11,4397073,6000,61,1500,12,1795,1.0
2024-03-12 12:00:00,1,283.72,0.13,0.67,57.22,0.47,3.3,9.71,2.44,Nairobi,2024-03-12,4397073,6000,61,1500,12,1795,1.0
2024-03-13 12:00:00,1,290.39,0.16,0.67,47.92,0.42,2.87,9.67,2.66,Nairobi,2024-03-13,4397073,6000,61,1500,12,1795,1.0
2024-03-14 12:00:00,1,283.72,0.16,0.82,39.34,0.55,2.16,7.61,2.66,Nairobi,2024-03-14,4397073,6000,61,1500,12,1795,1.0
2024-03-15 12:00:00,1,297.07,0.17,0.77,50.07,0.61,3.62,9.82,2.88,Nairobi,2024-03-15,4397073,6000,61,1500,12,1795,1.0
2024-03-16 12:00:00,2,270.37,0.1,0.67,66.52,0.51,3.31,8.93,2.25,Nairobi,2024-03-16,4397073,6000,61,1500,12,1795,1.0
2024-03-17 12:00:00,2,290.39,0.12,0.74,66.52,0.93,4.09,10.89,3.13,Nairobi,2024-03-17,4397073,6000,61,1500,12,1795,1.0
2024-03-18 12:00:00,1,300.41,0.14,0.72,55.79,0.75,4.52,12.42,3.13,Nairobi,2024-03-18,4397073,6000,61,1500,12,1795,1.0
2024-03-19 12:00:00,1,297.07,0.14,0.78,50.78,0.7,3.15,9.72,3.13,Nairobi,2024-03-19,4397073,6000,61,1500,12,1795,1.0
2024-03-20 12:00:00,1,293.73,0.12,0.78,47.92,0.44,2.61,7.67,2.41,Nairobi,2024-03-20,4397073,6000,61,1500,12,1795,1.0
2024-03-21 12:00:00,1,297.07,0.16,0.94,45.78,0.68,2.23,8.12,3.23,Nairobi,2024-03-21,4397073,6000,61,1500,12,1795,1.0
2024-03-22 12:00:00,2,310.42,0.14,0.85,63.66,0.73,3.31,11.53,3.61,Nairobi,2024-03-22,4397073,6000,61,1500,12,1795,1.0
2024-03-23 12:00:00,1,310.42,0.09,1.22,49.35,0.92,2.06,7.31,3.23,Nairobi,2024-03-23,4397073,6000,61,1500,12,1795,1.0
