date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,Location,date,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Altitude (m),Proximity to Industry (km)
2024-01-01 12:00:00,1,370.5,2.49,19.36,47.21,4.83,6.78,9.73,1.77,Paris,2024-01-01,2140526,21383,98,45000,29,35,3.0
2024-01-02 12:00:00,1,293.73,0.21,11.14,58.65,1.94,3.01,3.82,0.53,Paris,2024-01-02,2140526,21383,98,45000,29,35,3.0
2024-01-03 12:00:00,2,293.73,0.34,10.97,64.37,2.32,3.32,4.42,0.79,Paris,2024-01-03,2140526,21383,98,45000,29,35,3.0
2024-01-04 12:00:00,1,377.18,1.54,21.08,37.19,4.77,7.01,11.05,1.63,Paris,2024-01-04,2140526,21383,98,45000,29,35,3.0
2024-01-05 12:00:00,2,453.95,6.65,25.36,33.26,7.09,10.24,13.58,2.47,Paris,2024-01-05,2140526,21383,98,45000,29,35,3.0
2024-01-06 12:00:00,2,534.06,5.09,34.27,15.56,7.99,13.91,16.94,2.94,Paris,2024-01-06,2140526,21383,98,45000,29,35,3.0
2024-01-07 12:00:00,2,453.95,2.24,28.1,21.46,5.96,13.04,14.7,2.25,Paris,2024-01-07,2140526,21383,98,45000,29,35,3.0
2024-01-08 12:00:00,1,383.85,1.01,22.62,55.07,6.97,8.93,10.24,4.88,Paris,2024-01-08,2140526,21383,98,45000,29,35,3.0
2024-01-10 12:00:00,3,667.57,18.55,38.04,18.6,14.78,31.16,34.72,9.88,Paris,2024-01-10,2140526,21383,98,45000,29,35,3.0
2024-01-11 12:00:00,3,741.0,29.5,42.5,19.85,17.64,37.13,41.38,12.92,Paris,2024-01-11,2140526,21383,98,45000,29,35,3.0
2024-01-12 12:00:00,2,520.71,2.68,41.13,29.33,7.51,21.96,27.44,2.98,Paris,2024-01-12,2140526,21383,98,45000,29,35,3.0
2024-01-13 12:00:00,3,640.87,10.62,47.3,6.62,14.54,30.31,34.91,5.26,Paris,2024-01-13,2140526,21383,98,45000,29,35,3.0
2024-01-14 12:00:00,4,1295.09,48.73,84.31,3.44,37.19,72.74,83.14,13.17,Paris,2024-01-14,2140526,21383,98,45000,29,35,3.0
2024-01-15 12:00:00,2,427.25,3.13,25.02,60.08,7.09,10.35,12.33,2.53,Paris,2024-01-15,2140526,21383,98,45000,29,35,3.0
2024-01-16 12:00:00,5,5714.42,339.75,154.91,5.5,43.87,441.65,474.46,26.85,Paris,2024-01-16,2140526,21383,98,45000,29,35,3.0
2024-01-17 12:00:00,2,634.19,20.12,29.47,2.1,6.56,21.34,24.81,1.57,Paris,2024-01-17,2140526,21383,98,45000,29,35,3.0
2024-01-18 12:00:00,2,527.38,10.73,35.3,39.7,10.37,22.55,25.31,2.82,Paris,2024-01-18,2140526,21383,98,45000,29,35,3.0
2024-01-19 12:00:00,5,5180.36,343.32,123.38,4.52,53.41,324.23,352.71,18.75,Paris,2024-01-19,2140526,21383,98,45000,29,35,3.0
2024-01-20 12:00:00,3,827.79,34.42,37.36,18.24,14.31,47.85,55.02,9.75,Paris,2024-01-20,2140526,21383,98,45000,29,35,3.0
2024-01-21 12:00:00,1,353.81,0.96,14.91,52.93,3.07,8.66,10.55,1.79,Paris,2024-01-21,2140526,21383,98,45000,29,35,3.0
2024-01-22 12:00:00,1,317.1,1.15,12.34,57.22,2.83,4.92,6.11,1.04,Paris,2024-01-22,2140526,21383,98,45000,29,35,3.0
2024-01-23 12:00:00,2,440.6,2.96,26.05,28.97,5.25,10.48,14.74,1.47,Paris,2024-01-23,2140526,21383,98,45000,29,35,3.0
2024-01-24 12:00:00,1,350.48,1.38,17.65,47.92,4.29,6.24,8.64,1.76,Paris,2024-01-24,2140526,21383,98,45000,29,35,3.0
