date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,Location,date,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Altitude (m),Proximity to Industry (km)
2024-01-01 12:00:00,3,367.16,17.43,74.03,0.22,48.16,3.28,7.59,3.13,Tokyo,2024-01-01,13929286,6169,100,55000,37,40,2.0
2024-01-02 12:00:00,3,1121.52,418.42,120.64,0.0,152.59,42.43,58.59,3.17,Tokyo,2024-01-02,13929286,6169,100,55000,37,40,2.0
2024-01-03 12:00:00,3,413.89,20.79,93.22,0.08,42.92,16.46,21.38,0.18,Tokyo,2024-01-03,13929286,6169,100,55000,37,40,2.0
2024-01-04 12:00:00,3,367.16,6.54,82.25,3.8,49.59,2.86,6.21,2.5,Tokyo,2024-01-04,13929286,6169,100,55000,37,40,2.0
2024-01-05 12:00:00,3,1174.93,386.24,135.72,0.0,177.38,46.75,61.82,5.76,Tokyo,2024-01-05,13929286,6169,100,55000,37,40,2.0
2024-01-06 12:00:00,3,687.6,107.29,105.56,0.0,129.7,23.08,28.17,4.24,Tokyo,2024-01-06,13929286,6169,100,55000,37,40,2.0
2024-01-07 12:00:00,3,487.33,51.86,75.4,0.0,55.79,6.43,9.72,2.15,Tokyo,2024-01-07,13929286,6169,100,55000,37,40,2.0
2024-01-08 12:00:00,3,560.76,103.71,73.34,0.0,92.51,7.07,12.53,4.5,Tokyo,2024-01-08,13929286,6169,100,55000,37,40,2.0
2024-01-10 12:00:00,2,397.21,3.91,62.38,4.34,35.29,2.17,5.29,2.66,Tokyo,2024-01-10,13929286,6169,100,55000,37,40,2.0
2024-01-11 12:00:00,3,827.79,225.31,101.45,0.0,152.59,17.01,25.74,7.35,Tokyo,2024-01-11,13929286,6169,100,55000,37,40,2.0
2024-01-12 12:00:00,3,801.09,177.03,134.35,0.0,123.98,39.5,49.84,5.76,Tokyo,2024-01-12,13929286,6169,100,55000,37,40,2.0
2024-01-13 12:00:00,1,300.41,0.02,25.36,47.21,13.83,0.58,1.55,0.98,Tokyo,2024-01-13,13929286,6169,100,55000,37,40,2.0
2024-01-14 12:00:00,2,270.37,0.0,20.05,70.1,11.8,0.99,1.8,0.56,Tokyo,2024-01-14,13929286,6169,100,55000,37,40,2.0
2024-01-15 12:00:00,2,270.37,0.01,23.31,62.23,15.97,0.53,1.49,0.81,Tokyo,2024-01-15,13929286,6169,100,55000,37,40,2.0
2024-01-16 12:00:00,2,283.72,0.01,28.45,58.65,22.17,0.84,2.2,1.01,Tokyo,2024-01-16,13929286,6169,100,55000,37,40,2.0
2024-01-17 12:00:00,3,647.54,155.57,106.93,0.0,154.5,20.65,34.19,7.03,Tokyo,2024-01-17,13929286,6169,100,55000,37,40,2.0
2024-01-18 12:00:00,4,1054.76,343.32,127.49,0.0,202.18,65.29,84.18,7.6,Tokyo,2024-01-18,13929286,6169,100,55000,37,40,2.0
2024-01-19 12:00:00,2,293.73,0.02,42.16,43.99,20.03,3.11,6.93,1.6,Tokyo,2024-01-19,13929286,6169,100,55000,37,40,2.0
2024-01-20 12:00:00,2,327.11,0.56,58.95,17.7,25.03,5.09,6.73,0.9,Tokyo,2024-01-20,13929286,6169,100,55000,37,40,2.0
2024-01-21 12:00:00,2,317.1,0.07,42.5,33.26,24.08,1.92,3.42,1.31,Tokyo,2024-01-21,13929286,6169,100,55000,37,40,2.0
2024-01-22 12:00:00,2,303.75,0.62,49.35,19.49,21.46,3.83,5.97,0.36,Tokyo,2024-01-22,13929286,6169,100,55000,37,40,2.0
2024-01-23 12:00:00,2,313.76,3.21,51.41,5.5,31.95,1.79,3.81,1.69,Tokyo,2024-01-23,13929286,6169,100,55000,37,40,2.0
2024-01-24 12:00:00,3,350.48,2.49,78.83,13.95,47.68,2.48,5.3,2.09,Tokyo,2024-01-24,13929286,6169,100,55000,37,40,2.0
2024-01-25 12:00:00,2,303.75,0.01,32.9,61.51,25.27,0.93,2.34,1.19,Tokyo,2024-01-25,13929286,6169,100,55000,37,40,2.0
2024-01-26 12:00:00,2,293.73,0.0,30.85,65.09,22.41,0.92,2.21,1.14,Tokyo,2024-01-26,13929286,6169,100,55000,37,40,2.0
2024-01-27 12:00:00,2,343.8,0.08,59.63,35.76,33.38,2.04,4.35,1.82,Tokyo,2024-01-27,13929286,6169,100,55000,37,40,2.0
2024-01-28 12:00:00,3,614.17,101.92,95.96,0.0,81.06,13.44,19.5,4.75,Tokyo,2024-01-28,13929286,6169,100,55000,37,40,2.0
2024-01-29 12:00:00,3,514.03,78.68,105.56,0.0,79.15,8.42,16.03,5.45,Tokyo,2024-01-29,13929286,6169,100,55000,37,40,2.0
